int	int	int	int	int	int	int	int	int	int	string

Category	Piece1	Piece2	Piece3	Piece4	Piece5	Piece6	Piece7	Piece8	FeatureMask	Comment

0	1657	1659	1653	1655	1661	1663	1665	1667	0	Metal Door
1	8177	8179	8173	8175	8181	8183	8185	8187	0	Metal Gate
2	1689	1691	1685	1687	1693	1695	1697	1699	0	Rattan Door
3	1705	1707	1701	1703	1709	1711	1713	1715	0	Dark Wood Door
4	1721	1723	1717	1719	1725	1727	1729	1731	0	Wood Door
5	1753	1755	1749	1751	1757	1759	1761	1763	0	Light Wood Door
6	1769	1771	1765	1767	1773	1775	1777	1779	0	Wood and Metal Door
7	2088	2090	2084	2086	2092	2094	2096	2098	0	Tall Wrought Iron Gate
8	2109	2111	2105	2107	2113	2115	2117	2119	0	Light Wood Gate
9	2128	2130	2124	2126	2132	2134	2136	2138	0	Short Wrought Iron Gate
10	2154	2156	2150	2152	2158	2160	2162	2164	0	Dark Wood Gate
11	808	810	804	806	812	814	816	818	0	Weathered Stone Secret Door
12	824	826	820	822	828	830	832	834	0	Dark Wood Secret Door
13	840	842	836	838	844	846	848	850	0	Light Wood Secret Door
14	856	858	852	854	860	862	864	866	0	Grey Stone Secret Door
15	0	0	9251	0	0	9247	0	0	64	Japanese Doors
16	0	0	10767	10765	10771	10769	0	0	64	Sliding Doors 1
17	0	0	10759	10757	10763	10761	0	0	64	Sliding Doors 2
18	0	0	10775	10773	10779	10777	0	0	64	Sliding Doors 3
19	0	0	12718	12716	11592	11590	0	0	128	Elvan Wood Door
20	0	0	11621	12704	11619	12706	0	0	128	Elvan White Wooden Door 1
21	0	0	11625	12708	11623	12710	0	0	128	Elvan Ornate Door
22	0	0	11629	12714	11627	12712	0	0	128	Elvan Kia Wood Door 2
23	0	0	12260	12700	12258	12702	0	0	128	Elvan Moon Door
24	13951	13953	13947	13949	13955	13957	13959	13961	512	Crystal Door
25	13967	13969	13963	13965	13971	13973	13975	13977	512	Shadow Door
26	0	0	16539	16541	16543	16545	0	0	65536	Gargish Carved Green Door
27	0	0	16652	16654	16656	16658	0	0	65536	Gargish Brown Door
28	0	0	16834	16836	16838	16840	0	0	65536	Sun Door
29	0	0	16847	16849	16851	16853	0	0	65536	Gargish Grey Door
30	17262	17264	17266	17268	17270	17272	17274	17276	65536	Gargish Set Door
31	0	0	18141	18143	18145	18147	0	0	65536	Ruined Door
32	0	0	19746	19748	19750	19752	0	0	65536	Gargish Blue Door
33	20680	20682	20688	20690	20684	20686	20692	20694	65536	Gargish Red Doors
34	0	0	20802	20804	20806	20808	0	0	65536	Gargish Prison Door
