int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string
Category	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	F13	F14	F15	F16	FeatureMask	Comment
0	1305	1306	1307	1308	1309	1310	1311	1312	1313	1314	1315	1316	1181	1182	1183	1184	0	Grey Pavers and Flagstones
1	1317	1318	1319	1320	1321	1322	1323	1324	1327	1328	1329	1330	1331	1332	1333	1334	0	Sandstone Bricks
2	1280	1281	1282	1283	1407	1408	1409	1410	1276	1277	1278	1279	0	1411	1412	1413	0	More Sandstone
3	1250	1250	1250	1250	1250	1250	1250	1335	1336	1337	1338	0	0	0	0	0	0	Red Brick
4	1264	1265	1262	1263	1259	1260	1261	1258	1266	0	0	0	0	0	0	0	0	Blue Tile
5	1275	1272	1273	1274	1270	1271	1268	1269	1267	0	0	0	0	0	0	0	0	Red Tile
6	1293	1294	1297	1298	1299	1300	1179	1180	1295	1296	0	0	1173	1174	1175	1176	0	Misc Tile
7	1395	1396	1403	1404	1595	1596	1373	1374	1397	1398	1401	1402	1597	1598	1375	1376	0	Roof Tiles 2
8	1204	1200	1203	1199	1201	1198	1202	1197	1189	1190	0	0	0	1193	1195	1196	0	Dark Wood 1
9	1216	1212	1215	1211	1213	1210	1214	1209	1191	1192	0	0	1205	1206	1207	1208	0	Dark Wood 2
10	1233	1228	1235	1230	1234	1229	1232	1231	1185	1186	1226	1227	1222	1223	1224	1225	0	Light Wood 1
11	1247	1241	1249	1244	1248	1240	1246	1245	1187	1188	1242	1243	1236	1237	1238	1239	0	Light Wood 2
12	1288	1284	1286	1287	1285	0	1289	1290	1220	1218	1217	1219	1221	0	1291	1292	0	Palm Logs
13	1040	1041	1039	1042	1035	1036	1038	1037	1339	1340	1341	1342	1043	1045	1044	1046	0	Dirt to Cave
14	6013	6014	6015	6016	6017	0	0	0	6077	6078	6079	6080	0	0	0	0	0	Grass and Snow
15	12788	12789	12790	12791	0	0	12792	12795	1301	1302	1303	1304	0	0	12793	12794	0	Dirt and Cobblestones
16	0	13465	13471	13477	13483	13522	0	0	4850	4862	4868	4874	4880	4886	4892	0	0	Water / Lava
17	4896	4899	4902	4905	4908	4911	4914	4917	4920	4923	4926	4929	4932	4935	4938	4941	0	Lava Transition
18	0	12906	12907	12908	12909	12910	12911	0	0	0	0	12809	12810	0	0	0	0	Swamp 1
19	12888	12889	12890	12891	12892	12893	12894	0	12895	12896	12897	12898	12899	12900	12901	0	0	Swamp 2
20	10688	10689	10690	10691	10692	10693	10694	10695	10696	10697	10698	10699	10704	10705	10710	10711	64	Tatami Floor 1
21	10812	10813	10814	10818	10815	10816	10817	10820	10785	10786	10787	10788	10789	10790	10791	10792	64	Tatami Floor 2
22	9269	9270	9271	9272	9253	9254	9255	9256	9257	9258	9259	9260	9261	9262	9263	9264	64	Tatami Floor 3
23	0	0	9265	9266	9267	9268	0	0	0	0	0	0	0	0	0	0	64	Tatami Floor 4
24	0	9299	9300	9301	9302	9305	9306	0	0	9307	9303	9304	9308	9309	0	0	64	Pond
25	9310	9311	9312	9313	9314	9315	9320	9321	0	9322	9316	9317	9318	9319	9323	0	64	Gravel
26	0	9275	9276	9277	9278	9279	9280	0	0	9281	9282	9283	9284	9285	9286	0	64	Wood Floor 1
