int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string
Category	Style	TID	North	East	South	West	NSCrosspiece	EWCrosspiece	NDent	EDent	SDent	WDent	NTPiece	ETPiece	STPiece	WTPiece	XPiece	Extra Piece	FeatureMask	Comment
0	0	1063375	11314	11301	11313	11302	11300	11312	11305	11304	11306	11303	11308	11311	11309	11310	11307	0	64	Tile Roof
1	0	1063376	11329	11316	11328	11317	11315	11327	11320	11319	11321	11318	11323	11326	11324	11325	11322	0	64	Wooden Shingles
2	0	1063377	11344	11331	11343	11332	11330	11342	11335	11334	11336	11333	11338	11341	11339	11340	11337	0	64	Log Roof
3	0	1063378	11350	11345	11348	11347	11346	11349	11353	11352	11354	11351	11356	11359	11357	11358	11355	0	64	Thatch Roof
4	0	1063379	11374	11369	11372	11371	11370	11373	11362	11361	11363	11360	11364	11368	11365	11367	11366	0	64	Palm Fronds
5	0	1063380	11389	11376	11388	11377	11375	11387	11380	11379	11381	11378	11383	11386	11384	11385	11382	0	64	Stone Roof
6	0	1063381	9964	9947	9963	9948	9946	9962	9951	9950	9952	9949	9954	9955	9956	9953	9957	9958	64	Straw Roof 1
6	1	0	9959	9960	9961	0	0	0	0	0	0	0	0	0	0	0	0	0	64	Straw Roof 2
7	0	1063382	9994	9977	9993	9978	9976	9992	9981	9980	9982	9979	9984	9985	9986	9983	9987	9988	64	Bark Roof 1
7	1	0	9989	9990	9991	0	0	0	0	0	0	0	0	0	0	0	0	0	64	Bark Roof 2
8	0	1063385	9159	9160	9155	9156	9153	9154	9157	9158	9163	9164	9165	9166	9167	9168	9161	9162	64	Ceramic Tiles 1
8	1	0	0	0	9151	9150	9152	0	0	0	0	0	9171	9169	9170	0	0	0	64	Ceramic Tiles 2
9	0	1063386	9184	9185	9180	9181	9178	9179	9182	9183	9188	9189	9190	9191	9192	9193	9186	9187	64	Red Ceramic Tiles 1
9	1	0	0	0	9174	9172	9176	0	0	0	0	0	9177	9173	9175	0	0	0	64	Red Ceramic Tiles 2
10	0	1063387	9206	9207	9202	9203	9200	9201	9204	9205	9210	9211	9212	9213	9214	9215	9208	9209	64	Green Ceramic Tiles 1
10	1	0	0	0	9196	9194	9198	0	0	0	0	0	9199	9195	9197	0	0	0	64	Green Ceramic Tiles 2
11	0	1063388	10540	10541	10536	10537	10534	10535	10538	10539	10544	10545	10546	10547	10548	10549	10542	10543	64	Orange Ceramic Tiles 1
11	1	0	0	0	10530	10528	10532	0	0	0	0	0	10533	10529	10531	0	0	0	64	Orange Ceramic Tiles 2
12	0	1063389	10492	10493	10488	10489	10486	10487	10490	10491	10496	10497	10498	10499	10500	10501	10494	10495	64	Gold Ceramic Tiles 1
12	1	0	0	0	10482	10480	10484	0	0	0	0	0	10485	10481	10483	0	0	0	64	Gold Ceramic Tiles 2
13	0	1063390	10514	10515	10510	10511	10508	10509	10512	10513	10518	10519	10520	10521	10522	10523	10516	10517	64	White Ceramic Tiles 1
13	1	0	0	0	10504	10502	10506	0	0	0	0	0	10507	10503	10505	0	0	0	64	White Ceramic Tiles 2
14	0	1063383	10436	10419	10435	10420	10418	10434	10423	10422	10424	10421	10426	10437	10427	10428	10425	0	64	Slate Roof 1
14	1	0	0	10430	10431	10432	10433	10795	10796	0	0	10475	10476	10477	10478	10798	0	0	64	Slate Roof 2
15	0	1063384	10458	10441	10457	10442	10440	10456	10445	10444	10446	10443	10448	10451	10449	10450	10447	0	64	Wooden Slats 1
15	1	0	0	10452	10453	10454	10455	10473	10472	0	0	10459	10468	10469	10470	10474	10471	0	64	Wooden Slats 2
16	0	1074420	11155	11138	11154	11139	11137	11153	11142	11141	11143	11140	11145	11148	11146	11147	11144	0	128	Elf Scaled Roof
16	1	0	11149	11150	11151	11152	12064	12065	12066	12067	0	0	12063	0	0	0	0	0	128	Elf Scaled Roof
17	0	1074421	11174	11157	11173	11158	11156	11172	11161	11160	11159	11162	11164	11167	11165	11166	11163	0	128	Elvan Natural Roof
17	1	0	11168	11169	11170	11171	12068	12069	12070	12071	11175	11176	12072	0	0	0	0	0	128	Elvan Natural Roof
18	0	1076718	13762	13759	13760	13761	13762	13763	13764	13765	13776	13777	13766	13767	13768	13769	13770	13771	512	Crystal Roof Tiles 1
18	1	0	13772	13773	13774	13775	0	0	0	0	0	0	0	0	0	0	0	0	512	Crystal Roof Tiles 2
19	0	1076719	13859	13860	13861	13862	13863	13864	13865	13875	13876	13866	13867	13868	13869	13870	13871	13872	512	Shadow Roof Tiles 1
19	1	0	13873	13874	13877	0	0	0	0	0	0	0	0	0	0	0	0	0	512	Shadow Roof Tiles 2
20	0	1156123	39694	39689	39692	39691	39690	39693	39682	39681	39683	39680	39684	39688	39685	39687	39686	0	4194304	Jungle Roof
21	0	1156124	39795	39782	39794	39783	39781	39793	39786	39785	39787	39784	39789	39792	39790	39791	39788	0	4194304	Shadowguard Roof
