int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string
Category	Style	TID	South1	South2	South3	Corner	East1	East2	East3	Post	WindowS	AltWindowS	WindowE	AltWindowE	SecondAltWindowS	SecondAltWindowE	FeatureMask	Comment
0	0	1060054	10	7	12	6	13	8	11	9	0	14	15	0	0	0	0	Dark Wood Standard Walls
0	1	0	18	18	18	16	17	17	17	19	0	0	0	0	0	0	0	Dark Wood Half Walls
0	2	0	22	22	22	20	21	21	21	23	0	0	0	0	0	0	0	Dark Wood Quarter Walls
1	0	1060055	171	168	173	166	172	167	170	169	186	9472	9479	9478	9473	185	0	Light Wood Standard Walls
1	1	0	178	175	181	174	180	176	179	177	0	188	187	0	0	0	0	Light Wood Alternative Walls
1	2	0	948	948	948	947	949	949	949	950	0	0	0	0	0	0	0	Light Wood Half Walls
1	3	0	191	191	191	189	190	190	190	192	0	0	0	0	0	0	0	Light Wood Quarter Walls
2	0	1060056	30	28	33	26	32	27	31	29	10670	34	35	10675	0	0	0	Fieldstone Standard Walls
2	1	0	10668	10669	10671	10672	10677	10676	10674	10673	0	0	0	0	0	0	64	Fieldstone Stained Glass Walls
2	2	0	37	37	37	36	38	38	38	39	0	0	0	0	0	0	0	Fieldstone Half Walls
3	0	1060057	464	464	464	463	465	465	465	466	0	467	468	0	0	0	0	Weathered Stone Standard Walls
3	1	0	10660	10661	10662	10663	10667	10666	10665	10664	0	0	0	0	0	0	64	Weathered Stone Stained Glass
3	2	0	489	489	489	488	490	490	490	491	0	0	0	0	0	0	0	Weathered Stone Roof Edging
3	3	0	200	200	200	199	201	201	201	204	0	202	203	0	0	0	0	Granite Standard Walls
3	4	0	222	222	222	220	221	221	221	223	0	0	0	0	0	0	0	Granite Roof Edging
4	0	1060058	55	52	57	51	58	53	56	54	10681	59	60	10686	0	0	0	Grey Brick Standard Walls
4	1	0	10678	10679	10680	10682	10687	10685	10684	10683	0	0	0	0	0	0	64	Grey Brick Stained Glass
