#Body	Type	Model

400	Human	h_male
401	Human	h_female
402	Human	player_ghost
403	Human	player_ghost
991	Human	character_blackthorn
994	Human	character_dupre
990	Equipment	character_lord_british
970	Equipment	H_Male_Robe_Deathshroud
1970	Equipment	H_Female_Robe_Deathshroud
183	Human	H_Savage_Male
184	Human	H_Savage_Female
185	Human	H_SavageRider_Male
186	Human	H_SavageShaman_Female

##Necromancy Transformed Player Models

#Body	Type	Model

744	Human	h_male
745	Human	h_female
746	Monsters	four_armed_demon
747	Monsters	wailingbanshee
748	Monsters	spirits_ghost
749	Monsters	liche_liche_retro

##Male Wearables

#Body	Type	Model

750	Human	H_Savage_Male
465	Equipment	H_Male_Apron_Full
466	Equipment	H_Male_Apron_Half
554	Equipment	H_Male_Armor_Bone_Breastpiece
557	Equipment	H_Male_Armor_Bone_Gloves
562	Equipment	H_Male_Armor_Bone_Helm
555	Equipment	H_Male_Armor_Bone_Leggings
556	Equipment	H_Male_Armor_Bone_Sleeves
561	Equipment	H_Male_Armor_Chain_Coif
540	Equipment	H_Male_Armor_Chain_Leggings
538	Equipment	H_Male_Armor_Chain_Shirt
680	Equipment	H_Male_Armor_Dragon_Breastpiece
681	Equipment	H_Male_Armor_Dragon_Gloves
682	Equipment	H_Male_Armor_Dragon_Head_Helm
683	Equipment	H_Male_Armor_Dragon_Leggings
679	Equipment	H_Male_Armor_Dragon_Sleeves
929	Equipment	H_Male_Armor_Head_Bascinet
928	Equipment	H_Male_Armor_Head_Close_Helm
565	Equipment	H_Male_Armor_Head_Helmet
564	Equipment	H_Male_Armor_Head_Norse_Helm
973	Equipment	H_Male_Armor_Head_Orc_Helm
743	Equipment	H_Male_Armor_Head_Winged_Helmet
675	Equipment	H_Male_Armor_Japanese_Do-Maru
694	Equipment	H_Male_Armor_Japanese_Hachimaki
678	Equipment	H_Male_Armor_Japanese_Haidate
695	Equipment	H_Male_Armor_Japanese_Haramaki-Do
672	Equipment	H_Male_Armor_Japanese_Kabuto
674	Equipment	H_Male_Armor_Japanese_Kabuto_Mempo
698	Equipment	H_Male_Armor_Japanese_Kobakama
677	Equipment	H_Male_Armor_Japanese_Kote_Gloves
676	Equipment	H_Male_Armor_Japanese_Kote_Sleeves
697	Equipment	H_Male_Armor_Japanese_Kote2_Gloves
696	Equipment	H_Male_Armor_Japanese_Kote2_Sleeves
699	Equipment	H_Male_Armor_Japanese_Waraji
560	Equipment	H_Male_Armor_Leather_Cap
545	Equipment	H_Male_Armor_Leather_Gloves
546	Equipment	H_Male_Armor_Leather_Gorget
543	Equipment	H_Male_Armor_Leather_Leggings
544	Equipment	H_Male_Armor_Leather_Sleeves
524	Equipment	H_Male_Armor_Leather_Studded_Gloves
525	Equipment	H_Male_Armor_Leather_Studded_Gorget
522	Equipment	H_Male_Armor_Leather_Studded_Leggings
523	Equipment	H_Male_Armor_Leather_Studded_Sleeves
521	Equipment	H_Male_Armor_Leather_Studded_Tunic
542	Equipment	H_Male_Armor_Leather_Tunic
527	Equipment	H_Male_Armor_Plate_Breastpiece
530	Equipment	H_Male_Armor_Plate_Gauntlets
531	Equipment	H_Male_Armor_Plate_Gorget
563	Equipment	H_Male_Armor_Plate_Helm
529	Equipment	H_Male_Armor_Plate_Leggings
528	Equipment	H_Male_Armor_Plate_Sleeves
549	Equipment	H_Male_Armor_Ring_Leggings
550	Equipment	H_Male_Armor_Ring_Sleeves
548	Equipment	H_Male_Armor_Ring_Tunic
477	Equipment	H_Male_Boots
476	Equipment	H_Male_Boots_Thigh
495	Equipment	H_Male_Bracelet_Gold
508	Equipment	H_Male_Bracelet_Silver
468	Equipment	H_Male_Cloak
448	Equipment	H_Male_Dress_Fancy
687	Equipment	H_Male_Dress_Fancy_2
688	Equipment	H_Male_Dress_Fancy_3
447	Equipment	H_Male_Dress_Long
496	Equipment	H_Male_Ear_Ring_Gold
509	Equipment	H_Male_Ear_Ring_Silver
900	Equipment	H_Male_Hair_Curly
800	Equipment	H_Male_Hair_Facial_Gotee
906	Equipment	H_Male_Hair_Facial_Gotee_2
801	Equipment	H_Male_Hair_Facial_Long_Beard
905	Equipment	H_Male_Hair_Facial_Long_Beard_2
803	Equipment	H_Male_Hair_Facial_Mustache
802	Equipment	H_Male_Hair_Facial_Short_Beard
904	Equipment	H_Male_Hair_Facial_Short_Beard_2
701	Equipment	H_Male_Hair_Long
703	Equipment	H_Male_Hair_Mohawk
710	Equipment	H_Male_Hair_Pageboy
902	Equipment	H_Male_Hair_Pig_Tails
702	Equipment	H_Male_Hair_Ponytail
901	Equipment	H_Male_Hair_Receding
700	Equipment	H_Male_Hair_Short
903	Equipment	H_Male_Hair_Topknot
492	Equipment	H_Male_Hat_Bandana
410	Equipment	H_Male_Hat_Bonnet
406	Equipment	H_Male_Hat_Cap
411	Equipment	H_Male_Hat_Feathered
742	Equipment	H_Male_Hat_Feathers_Leaves
404	Equipment	H_Male_Hat_Floppy
413	Equipment	H_Male_Hat_Jester
740	Equipment	H_Male_Hat_Robin_Hood
419	Equipment	H_Male_Hat_Skullcap
408	Equipment	H_Male_Hat_Straw
407	Equipment	H_Male_Hat_Straw_Tall
412	Equipment	H_Male_Hat_Tricorner
405	Equipment	H_Male_Hat_Wide_Brim
409	Equipment	H_Male_Hat_Wizard
455	Equipment	H_Male_Kilt
690	Equipment	H_Male_Kimono
414	Equipment	H_Male_Mask_Bear
415	Equipment	H_Male_Mask_Deer
713	Equipment	H_Male_Mask_Feathered
692	Equipment	H_Male_Mask_Ninja
416	Equipment	H_Male_Mask_Orc
417	Equipment	H_Male_Mask_Tribal_1
418	Equipment	H_Male_Mask_Tribal_2
493	Equipment	H_Male_Necklace_Bead
497	Equipment	H_Male_Necklace_Gold
494	Equipment	H_Male_Necklace_Gold_Bead
510	Equipment	H_Male_Necklace_Silver
507	Equipment	H_Male_Necklace_Silver_Bead
715	Equipment	H_Male_Pants_Jester
431	Equipment	H_Male_Pants_Long
693	Equipment	H_Male_Pants_Ninja
430	Equipment	H_Male_Pants_Short
498	Equipment	H_Male_Ring_Gold
511	Equipment	H_Male_Ring_Silver
469	Equipment	H_Male_Robe_CowlDown
732	Equipment	H_Male_Robe_CowlUp
731	Equipment	H_Male_Robe_Deathshroud
987	Equipment	H_Male_Robe_GM
490	Equipment	H_Male_Sash
733	Equipment	H_Male_Shirt_1
734	Equipment	H_Male_Shirt_2
735	Equipment	H_Male_Shirt_5
736	Equipment	H_Male_Shirt_6
911	Equipment	H_Male_Shirt_Checkered
913	Equipment	H_Male_Shirt_Doublet
435	Equipment	H_Male_Shirt_Fancy
912	Equipment	H_Male_Shirt_Jester
691	Equipment	H_Male_Shirt_Ninja
434	Equipment	H_Male_Shirt_Sleeveless
910	Equipment	H_Male_Shirt_Surcoat
909	Equipment	H_Male_Shirt_Tunic
480	Equipment	H_Male_Shoes
716	Equipment	H_Male_Shoes_Jester
479	Equipment	H_Male_Shoes_Sandals
449	Equipment	H_Male_Skirt_Long
971	Equipment	H_Male_Skirt_Medium
759	Equipment	H_Male_Cloak_Arcane
760	Equipment	H_Male_Gloves_Arcane
761	Equipment	H_Male_Robe_Arcane
762	Equipment	H_Male_Boots_Arcane

##Female wearables for polyorph from female to male

#Body	Type	Model

924	Equipment	H_Female_Armor_Female_Bustier_Leather
925	Equipment	H_Female_Armor_Female_Bustier_Studded
923	Equipment	H_Female_Armor_Female_Leather
922	Equipment	H_Female_Armor_Female_Plate
927	Equipment	H_Female_Armor_Female_Shorts_Spiked
926	Equipment	H_Female_Armor_Female_Skirt_Leather
921	Equipment	H_Female_Armor_Female_Studded

##Transition female only armor

#Body	Type	Model

2604	Equipment	H_Female_Armor_Female_Bustier_Leather_OLD
2605	Equipment	H_Female_Armor_Female_Bustier_Studded_OLD
2603	Equipment	H_Female_Armor_Female_Leather_OLD
2602	Equipment	H_Female_Armor_Female_Plate_OLD
2606	Equipment	H_Female_Armor_Female_Skirt_Leather_OLD
2601	Equipment	H_Female_Armor_Female_Studded_OLD

3601	Equipment	H_Female_Armor_Female_Studded_OLD
3602	Equipment	H_Female_Armor_Female_Plate_OLD
3603	Equipment	H_Female_Armor_Female_Leather_OLD
3604	Equipment	H_Female_Armor_Female_Bustier_Leather_OLD
3605	Equipment	H_Female_Armor_Female_Bustier_Studded_OLD
3606	Equipment	H_Female_Armor_Female_Skirt_Leather_OLD

##Female Wearables

#Body	Type	Model

751	Human	H_Savage_Female
1465	Equipment	H_Female_Apron_Full
1466	Equipment	H_Female_Apron_Half
1554	Equipment	H_Female_Armor_Bone_Breastpiece
1557	Equipment	H_Female_Armor_Bone_Gloves
1562	Equipment	H_Female_Armor_Bone_Helm
1555	Equipment	H_Female_Armor_Bone_Leggings
1556	Equipment	H_Female_Armor_Bone_Sleeves
1561	Equipment	H_Female_Armor_Chain_Coif
1540	Equipment	H_Female_Armor_Chain_Leggings
1538	Equipment	H_Female_Armor_Chain_Shirt
1680	Equipment	H_Female_Armor_Dragon_Breastpiece
1681	Equipment	H_Female_Armor_Dragon_Gloves
1682	Equipment	H_Female_Armor_Dragon_Head_Helm
1683	Equipment	H_Female_Armor_Dragon_Leggings
1679	Equipment	H_Female_Armor_Dragon_Sleeves
1924	Equipment	H_Female_Armor_Female_Bustier_Leather
1925	Equipment	H_Female_Armor_Female_Bustier_Studded
1923	Equipment	H_Female_Armor_Female_Leather
1922	Equipment	H_Female_Armor_Female_Plate
1927	Equipment	H_Female_Armor_Female_Shorts_Spiked
1926	Equipment	H_Female_Armor_Female_Skirt_Leather
1921	Equipment	H_Female_Armor_Female_Studded
1929	Equipment	H_Female_Armor_Head_Bascinet
1928	Equipment	H_Female_Armor_Head_Close_Helm
1565	Equipment	H_Female_Armor_Head_Helmet
1564	Equipment	H_Female_Armor_Head_Norse_Helm
1973	Equipment	H_Female_Armor_Head_Orc_Helm
1743	Equipment	H_Female_Armor_Head_Winged_Helmet
1675	Equipment	H_Female_Armor_Japanese_Do-Maru
1694	Equipment	H_Female_Armor_Japanese_Hachimaki
1678	Equipment	H_Female_Armor_Japanese_Haidate
1695	Equipment	H_Female_Armor_Japanese_Haramaki-Do
1672	Equipment	H_Female_Armor_Japanese_Kabuto
1674	Equipment	H_Female_Armor_Japanese_Kabuto_Mempo
1698	Equipment	H_Female_Armor_Japanese_Kobakama
1677	Equipment	H_Female_Armor_Japanese_Kote_Gloves
1676	Equipment	H_Female_Armor_Japanese_Kote_Sleeves
1697	Equipment	H_Female_Armor_Japanese_Kote2_Gloves
1696	Equipment	H_Female_Armor_Japanese_Kote2_Sleeves
1699	Equipment	H_Female_Armor_Japanese_Waraji
1560	Equipment	H_Female_Armor_Leather_Cap
1545	Equipment	H_Female_Armor_Leather_Gloves
1546	Equipment	H_Female_Armor_Leather_Gorget
1543	Equipment	H_Female_Armor_Leather_Leggings
1544	Equipment	H_Female_Armor_Leather_Sleeves
1524	Equipment	H_Female_Armor_Leather_Studded_Gloves
1525	Equipment	H_Female_Armor_Leather_Studded_Gorget
1522	Equipment	H_Female_Armor_Leather_Studded_Leggings
1523	Equipment	H_Female_Armor_Leather_Studded_Sleeves
1521	Equipment	H_Female_Armor_Leather_Studded_Tunic
1542	Equipment	H_Female_Armor_Leather_Tunic
1527	Equipment	H_Female_Armor_Plate_Breastpiece
1530	Equipment	H_Female_Armor_Plate_Gauntlets
1531	Equipment	H_Female_Armor_Plate_Gorget
1563	Equipment	H_Female_Armor_Plate_Helm
1529	Equipment	H_Female_Armor_Plate_Leggings
1528	Equipment	H_Female_Armor_Plate_Sleeves
1549	Equipment	H_Female_Armor_Ring_Leggings
1550	Equipment	H_Female_Armor_Ring_Sleeves
1548	Equipment	H_Female_Armor_Ring_Tunic
1477	Equipment	H_Female_Boots
1476	Equipment	H_Female_Boots_Thigh
1495	Equipment	H_Female_Bracelet_Gold
1508	Equipment	H_Female_Bracelet_Silver
1468	Equipment	H_Female_Cloak
1448	Equipment	H_Female_Dress_Fancy
1687	Equipment	H_Female_Dress_Fancy_2
1688	Equipment	H_Female_Dress_Fancy_3
1447	Equipment	H_Female_Dress_Long
1496	Equipment	H_Female_Ear_Ring_Gold
1509	Equipment	H_Female_Ear_Ring_Silver
1712	Equipment	H_Female_Hair_Buns
1900	Equipment	H_Female_Hair_Curly
1701	Equipment	H_Female_Hair_Long
1703	Equipment	H_Female_Hair_Mohawk
1710	Equipment	H_Female_Hair_Pageboy
1902	Equipment	H_Female_Hair_Pig_Tails
1702	Equipment	H_Female_Hair_Ponytail
1901	Equipment	H_Female_Hair_Receding
1700	Equipment	H_Female_Hair_Short
1903	Equipment	H_Female_Hair_Topknot
1492	Equipment	H_Female_Hat_Bandana
1410	Equipment	H_Female_Hat_Bonnet
1406	Equipment	H_Female_Hat_Cap
1411	Equipment	H_Female_Hat_Feathered
1742	Equipment	H_Female_Hat_Feathers_Leaves
1404	Equipment	H_Female_Hat_Floppy
1413	Equipment	H_Female_Hat_Jester
1740	Equipment	H_Female_Hat_Robin_Hood
1419	Equipment	H_Female_Hat_Skullcap
1408	Equipment	H_Female_Hat_Straw
1407	Equipment	H_Female_Hat_Straw_Tall
1412	Equipment	H_Female_Hat_Tricorner
1405	Equipment	H_Female_Hat_Wide_Brim
1409	Equipment	H_Female_Hat_Wizard
1455	Equipment	H_Female_Kilt
1690	Equipment	H_Female_Kimono
1414	Equipment	H_Female_Mask_Bear
1415	Equipment	H_Female_Mask_Deer
1713	Equipment	H_Female_Mask_Feathered
1692	Equipment	H_Female_Mask_Ninja
1416	Equipment	H_Female_Mask_Orc
1417	Equipment	H_Female_Mask_Tribal_1
1418	Equipment	H_Female_Mask_Tribal_2
1493	Equipment	H_Female_Necklace_Bead
1497	Equipment	H_Female_Necklace_Gold
