# Teleporter X,Y,Z,Map,Dest X,Y,Z,Map,Back?
512,1559,0,Felucca,5394,127,0,Felucca,True
513,1559,0,Felucca,5395,127,0,Felucca,True
514,1559,0,Felucca,5396,127,0,Felucca,True
5490,19,-25,Felucca,5514,10,5,Felucca,True
5875,19,-5,Felucca,5507,162,5,Felucca,True
5604,102,5,Felucca,5514,147,25,Felucca,True
5513,176,5,Felucca,5540,187,0,Felucca,False
5538,170,5,Felucca,5517,176,0,Felucca,False
4721,3813,0,Felucca,5904,16,64,Felucca,True
4722,3813,0,Felucca,5905,16,64,Felucca,True
4723,3813,0,Felucca,5906,16,64,Felucca,True
6040,192,12,Felucca,6059,88,24,Felucca,True
6040,193,12,Felucca,6059,89,24,Felucca,True
6040,194,12,Felucca,6059,90,24,Felucca,True
5920,168,16,Felucca,6083,144,-20,Felucca,False
5920,169,16,Felucca,6083,145,-20,Felucca,False
5920,170,16,Felucca,6083,146,-20,Felucca,False
6083,144,-20,Felucca,5920,168,22,Felucca,False
6083,145,-20,Felucca,5920,169,22,Felucca,False
6083,146,-20,Felucca,5920,170,22,Felucca,False
5972,168,0,Felucca,5905,100,0,Felucca,False
5906,96,0,Felucca,5977,169,0,Felucca,False
2498,916,0,Felucca,5455,1864,0,Felucca,True
2499,916,0,Felucca,5456,1864,0,Felucca,True
2500,916,0,Felucca,5457,1864,0,Felucca,True
2384,836,0,Felucca,5615,1996,0,Felucca,True
2384,837,0,Felucca,5615,1997,0,Felucca,True
2384,838,0,Felucca,5615,1998,0,Felucca,True
2420,883,0,Felucca,5392,1959,0,Felucca,True
2421,883,0,Felucca,5393,1959,0,Felucca,True
2422,883,0,Felucca,5394,1959,0,Felucca,True
2455,858,0,Felucca,5388,2027,0,Felucca,True
2456,858,0,Felucca,5389,2027,0,Felucca,True
2457,858,0,Felucca,5390,2027,0,Felucca,True
2544,850,0,Felucca,5578,1927,0,Felucca,True
2545,850,0,Felucca,5579,1927,0,Felucca,True
2546,850,0,Felucca,5580,1927,0,Felucca,True
5551,1805,12,Felucca,5556,1825,-3,Felucca,False
5552,1805,12,Felucca,5557,1825,-3,Felucca,False
5553,1805,12,Felucca,5557,1825,-3,Felucca,False
5556,1826,-10,Felucca,5551,1806,7,Felucca,False
5557,1826,-10,Felucca,5552,1806,7,Felucca,False
5466,1804,12,Felucca,5593,1840,-3,Felucca,False
5466,1805,12,Felucca,5593,1841,-3,Felucca,False
5466,1806,12,Felucca,5593,1842,-3,Felucca,False
5594,1840,-8,Felucca,5467,1804,7,Felucca,False
5594,1841,-8,Felucca,5467,1805,7,Felucca,False
5824,631,5,Felucca,2041,215,14,Felucca,True
5825,631,5,Felucca,2042,215,14,Felucca,True
5825,631,5,Felucca,2043,215,14,Felucca,True
5698,662,0,Felucca,5793,527,10,Felucca,False
4110,430,5,Felucca,5187,639,0,Felucca,False
4111,430,5,Felucca,5188,639,0,Felucca,False
4112,430,5,Felucca,5189,639,0,Felucca,False
5187,639,0,Felucca,4110,430,5,Felucca,False
5188,639,0,Felucca,4111,430,5,Felucca,False
5189,639,0,Felucca,4112,430,5,Felucca,False
5216,586,-13,Felucca,5304,533,2,Felucca,False
5217,586,-13,Felucca,5305,533,2,Felucca,False
5218,586,-13,Felucca,5306,533,2,Felucca,False
5304,532,7,Felucca,5216,585,-8,Felucca,False
5305,532,7,Felucca,5217,585,-8,Felucca,False
5306,532,7,Felucca,5218,585,-8,Felucca,False
5218,761,-28,Felucca,5305,651,7,Felucca,False
5219,761,-28,Felucca,5306,651,7,Felucca,False
5305,650,12,Felucca,5218,760,-23,Felucca,False
5306,650,12,Felucca,5219,760,-23,Felucca,False
5346,578,5,Felucca,5137,649,5,Felucca,True
5186,639,0,Felucca,4110,430,5,Felucca,False
5504,569,46,Felucca,5574,628,37,Felucca,False
5504,570,46,Felucca,5574,629,37,Felucca,False
5504,571,46,Felucca,5574,630,37,Felucca,False
5572,632,17,Felucca,5521,672,27,Felucca,False
5572,633,17,Felucca,5521,673,27,Felucca,False
